Height,Weight,Reach,STANCE,DOB,name,link
"5' 8""",145 lbs.,"69""",Orthodox,"Mar 06, 1994",Mads Burnell,http://www.ufcstats.com/fighter-details/69f01b25dfabaf6b
"5' 9""",155 lbs.,"69""",Orthodox,"Sep 30, 1983",Scott Holtzman,http://www.ufcstats.com/fighter-details/df1eb4354d18a906
"5' 4""",125 lbs.,"65""",Southpaw,"Jan 06, 1985",Wilson Reis,http://www.ufcstats.com/fighter-details/5aedf14771ca82d2
"6' 2""",185 lbs.,"77""",Southpaw,"Apr 14, 1975",Anderson Silva,http://www.ufcstats.com/fighter-details/1f454354805b6f75
"5' 8""",125 lbs.,"67""",Southpaw,"Nov 20, 1984",Antonina Shevchenko,http://www.ufcstats.com/fighter-details/d7338bcb141abd2c
"6' 1""",185 lbs.,--,Orthodox,"Dec 27, 1986",Cale Yarbrough,http://www.ufcstats.com/fighter-details/a0b91014e9d16a76
"5' 11""",155 lbs.,--,Orthodox,"Jul 21, 1982",Alex Ricci,http://www.ufcstats.com/fighter-details/bf9bc96336922271
"6' 0""",170 lbs.,"73""",Orthodox,"Jan 02, 1983",Jesse Taylor,http://www.ufcstats.com/fighter-details/dd992d569aaebee6
"5' 9""",155 lbs.,"68""",Orthodox,"Aug 17, 1991",Richie Smullen,http://www.ufcstats.com/fighter-details/f75c5ca0d91b9115
"5' 9""",155 lbs.,"70""",Southpaw,"Jul 17, 1982",Marcus LeVesseur,http://www.ufcstats.com/fighter-details/182f2b78582de3d8
"5' 4""",125 lbs.,"64""",Orthodox,"Aug 30, 1979",Neil Seery,http://www.ufcstats.com/fighter-details/49a74b9fb2e45fdf
"5' 7""",115 lbs.,--,Orthodox,"Apr 14, 1977",Jessica Rakoczy,http://www.ufcstats.com/fighter-details/ffdeb4fbea09ce75
"6' 1""",170 lbs.,"75""",Orthodox,"Jun 07, 1977",Chris Wilson,http://www.ufcstats.com/fighter-details/a56607a451e4c70d
"6' 1""",185 lbs.,"77""",Southpaw,"Jan 04, 1984",Derek Brunson,http://www.ufcstats.com/fighter-details/b1a3e0aca758b322
"5' 4""",125 lbs.,"64""",Southpaw,"Oct 30, 1995",Veronica Macedo,http://www.ufcstats.com/fighter-details/4798e823ada58fe9
"5' 10""",155 lbs.,"71""",Orthodox,"Jul 09, 1977",George Sotiropoulos,http://www.ufcstats.com/fighter-details/896c322f56b8be5a
"5' 3""",115 lbs.,"65""",Southpaw,"May 20, 1985",Jinh Yu Frey,http://www.ufcstats.com/fighter-details/d05cb1e8d1b885d8
"5' 11""",205 lbs.,"76""",Orthodox,"Nov 27, 1981",Rashad Coulter,http://www.ufcstats.com/fighter-details/d1528ac5675558b1
"6' 0""",170 lbs.,"73""",Orthodox,"Feb 09, 1984",Jake Hecht,http://www.ufcstats.com/fighter-details/e57fdbea1b828202
"6' 2""",230 lbs.,"73""",Southpaw,"Sep 10, 1974",Mirko Filipovic,http://www.ufcstats.com/fighter-details/c32fb8c0f6471a4d
"6' 3""",250 lbs.,--,Orthodox,"Jun 01, 1974",Dan Evensen,http://www.ufcstats.com/fighter-details/dd8aec6de7035943
"6' 2""",205 lbs.,"79""",Orthodox,"Nov 18, 1988",Jordan Johnson,http://www.ufcstats.com/fighter-details/99bcdf5eac39898f
"5' 10""",170 lbs.,"73""",Orthodox,"Jul 12, 1981",Carlos Eduardo Rocha,http://www.ufcstats.com/fighter-details/4f736494fc733095
"5' 10""",199 lbs.,--,Orthodox,--,Royce Alger,http://www.ufcstats.com/fighter-details/669a3cb6e394f515
"5' 6""",125 lbs.,"66""",Orthodox,"Jan 26, 1985",Chico Camus,http://www.ufcstats.com/fighter-details/32be4b7f7de1c905
"5' 10""",170 lbs.,"73""",Southpaw,"Jun 09, 1990",Takashi Sato,http://www.ufcstats.com/fighter-details/8abac218746e04ca
"5' 7""",145 lbs.,"70""",Orthodox,"Nov 12, 1990",Vince Morales,http://www.ufcstats.com/fighter-details/37098a6e6c27fb66
"6' 2""",205 lbs.,"77""",Orthodox,"Nov 21, 1986",Clint Hester,http://www.ufcstats.com/fighter-details/92b62174c175ce19
"5' 8""",145 lbs.,"72""",Orthodox,"Jun 13, 1992",Suman Mokhtarian,http://www.ufcstats.com/fighter-details/192520689012c7e4
"5' 10""",170 lbs.,"72""",Switch,"Dec 19, 1991",Rostem Akman,http://www.ufcstats.com/fighter-details/1fc64507a0cb38cf
"5' 8""",155 lbs.,"72""",Orthodox,"May 01, 1984",Anton Kuivanen,http://www.ufcstats.com/fighter-details/706f8e2b34e8e18b
"6' 0""",265 lbs.,--,Orthodox,"Sep 15, 1970",John Marsh,http://www.ufcstats.com/fighter-details/b6b12014698cc345
"5' 10""",155 lbs.,"73""",Orthodox,"Aug 27, 1982",Ryan Couture,http://www.ufcstats.com/fighter-details/46fd223e3ced39b3
"5' 6""",125 lbs.,"66""",Orthodox,"Jul 27, 1986",Jessica Eye,http://www.ufcstats.com/fighter-details/f72465a784c1b084
"5' 10""",155 lbs.,"72""",Orthodox,"Aug 10, 1985",Joe Proctor,http://www.ufcstats.com/fighter-details/a36556bb1565e32d
"5' 9""",155 lbs.,"70""",Orthodox,"May 09, 1979",Gray Maynard,http://www.ufcstats.com/fighter-details/7d96bc577e5178b2
"6' 1""",185 lbs.,"73""",Orthodox,"Sep 29, 1986",Eric Spicely,http://www.ufcstats.com/fighter-details/b9664eae2ac75262
"5' 9""",155 lbs.,--,Southpaw,"Sep 08, 1972",John Halverson,http://www.ufcstats.com/fighter-details/88c8f47241d90040
"5' 5""",125 lbs.,"65""",Orthodox,"Aug 22, 1988",Magomed Bibulatov,http://www.ufcstats.com/fighter-details/87f19d19f4cb73f8
"5' 10""",135 lbs.,"71""",Orthodox,"Mar 01, 1994",Nohelin Hernandez,http://www.ufcstats.com/fighter-details/f97c5433c77522d3
"6' 1""",170 lbs.,--,Orthodox,"Aug 07, 1972",Brian Gassaway,http://www.ufcstats.com/fighter-details/e4770d5ed44a3970
"5' 6""",125 lbs.,"66""",Orthodox,"Mar 20, 1984",John Moraga,http://www.ufcstats.com/fighter-details/92437c6775b3f7d1
"5' 5""",125 lbs.,"68""",Orthodox,"Dec 18, 1987",Deiveson Figueiredo,http://www.ufcstats.com/fighter-details/aa72b0f831d0bfe5
"6' 2""",200 lbs.,--,,--,Joey Roberts,http://www.ufcstats.com/fighter-details/c058823a2595ab09
"6' 2""",185 lbs.,"75""",Orthodox,"May 08, 1990",Julian Marquez,http://www.ufcstats.com/fighter-details/d0e1b42d41dab603
"6' 0""",155 lbs.,--,Orthodox,"Aug 14, 1985",Mark Holst,http://www.ufcstats.com/fighter-details/c11f50e9c1513ce9
"6' 7""",250 lbs.,"80""",Orthodox,"Oct 24, 1988",Alexander Volkov,http://www.ufcstats.com/fighter-details/279566840aa55bf2
"6' 2""",205 lbs.,"79""",Orthodox,"Sep 25, 1984",Phil Davis,http://www.ufcstats.com/fighter-details/902ab9197b83d0db
"5' 9""",155 lbs.,"71""",Switch,"Apr 15, 1983",Tae Hyun Bang,http://www.ufcstats.com/fighter-details/9a2d3567abc02e34
"5' 4""",135 lbs.,"63""",Orthodox,"Aug 04, 1993",Ray Borg,http://www.ufcstats.com/fighter-details/a4de54ea806fb525
"5' 9""",145 lbs.,"72""",Orthodox,"Feb 03, 1984",Phillipe Nover,http://www.ufcstats.com/fighter-details/64360e618823a8e4
"6' 5""",250 lbs.,--,Orthodox,--,Zane Frazier,http://www.ufcstats.com/fighter-details/d3711d3784b76255
"6' 2""",185 lbs.,--,Orthodox,"Oct 17, 1982",Buddy Roberts,http://www.ufcstats.com/fighter-details/b2a2da86546ddb19
"5' 10""",193 lbs.,--,Southpaw,--,Todd Medina,http://www.ufcstats.com/fighter-details/b60391da771deefe
"5' 8""",145 lbs.,"73""",Orthodox,"Jul 02, 1991",Hakeem Dawodu,http://www.ufcstats.com/fighter-details/2c9d00968f818270
"6' 3""",205 lbs.,"76""",Orthodox,"Jul 03, 1987",Adam Milstead,http://www.ufcstats.com/fighter-details/72ffecf712673af1
"6' 1""",185 lbs.,--,Orthodox,"May 05, 1980",Rob Yundt,http://www.ufcstats.com/fighter-details/42078a86d3dd037b
"6' 6""",265 lbs.,--,Orthodox,"Jan 18, 1971",Neil Grove,http://www.ufcstats.com/fighter-details/36a432f22144843e
"6' 3""",155 lbs.,--,Orthodox,"Sep 20, 1984",Quinn Mulhern,http://www.ufcstats.com/fighter-details/16af2d5a6f28bee2
"6' 2""",205 lbs.,"75""",Southpaw,"Jun 02, 1976",Rogerio Nogueira,http://www.ufcstats.com/fighter-details/73e09f837f3b5ecc
"5' 9""",135 lbs.,"74""",Orthodox,"Aug 05, 1987",Dustin Pague,http://www.ufcstats.com/fighter-details/55f80a8aeffcdb33
"5' 10""",170 lbs.,--,Orthodox,"Mar 14, 1984",Jim Wallhead,http://www.ufcstats.com/fighter-details/0c670b443c3d269f
"6' 1""",155 lbs.,--,Switch,"Dec 11, 1971",Joao Pierini,http://www.ufcstats.com/fighter-details/9a967e8e43dcef63
"6' 0""",185 lbs.,"74""",Orthodox,"Feb 11, 1971",Evan Tanner,http://www.ufcstats.com/fighter-details/8f2d9ee27f206f1f
"5' 10""",125 lbs.,"69""",Orthodox,"May 03, 1988",Paddy Holohan,http://www.ufcstats.com/fighter-details/6e7c758f5cdec01a
"6' 2""",264 lbs.,"75""",Southpaw,"Mar 16, 1993",Tai Tuivasa,http://www.ufcstats.com/fighter-details/c62fbc117d57b943
"6' 0""",185 lbs.,--,Southpaw,"Jul 14, 1969",Kazushi Sakuraba,http://www.ufcstats.com/fighter-details/9b5b5a75523728f3
"6' 3""",245 lbs.,"76""",Orthodox,"Nov 08, 1989",Allen Crowder,http://www.ufcstats.com/fighter-details/a9d6e047ce48ab63
"5' 11""",155 lbs.,--,Orthodox,"Jan 31, 1991",Cesar Arzamendia,http://www.ufcstats.com/fighter-details/49f78022126bf4a4
--,--,--,,--,Frank Hamaker,http://www.ufcstats.com/fighter-details/c3c23c99477c041b
"6' 0""",205 lbs.,"76""",Orthodox,"Apr 15, 1978",Ricardo Romero,http://www.ufcstats.com/fighter-details/744e098e065cfdbe
"5' 11""",170 lbs.,--,Orthodox,"Jan 06, 1978",James Giboo,http://www.ufcstats.com/fighter-details/f74e037b97917027
"5' 8""",155 lbs.,"70""",Orthodox,"Apr 08, 1978",Isaac Vallie-Flagg,http://www.ufcstats.com/fighter-details/c295de4e10acd4c9
"5' 6""",135 lbs.,"69""",Orthodox,"Aug 31, 1992",Ricky Simon,http://www.ufcstats.com/fighter-details/5987b2458f4b5290
"5' 5""",135 lbs.,--,Southpaw,"Apr 29, 1983",Tim Gorman,http://www.ufcstats.com/fighter-details/c10eb2f12c489f6d
"5' 10""",155 lbs.,"72""",Orthodox,"Nov 23, 1982",Vinc Pichel,http://www.ufcstats.com/fighter-details/c77a953488e5607d
"5' 4""",115 lbs.,--,Orthodox,"Aug 12, 1986",Pearl Gonzalez,http://www.ufcstats.com/fighter-details/1ebdcb7488d0ebee
"5' 8""",145 lbs.,"68""",Orthodox,"Aug 27, 1982",Akira Corassani,http://www.ufcstats.com/fighter-details/3f52ce18fb98008f
"6' 3""",265 lbs.,"74""",Orthodox,"Oct 15, 1983",Jarjis Danho,http://www.ufcstats.com/fighter-details/8614b7134913f5d5
"5' 7""",155 lbs.,"70""",Southpaw,"May 08, 1975",Caol Uno,http://www.ufcstats.com/fighter-details/eb1723480fa2f96c
"6' 2""",205 lbs.,--,Orthodox,"Jul 06, 1987",Nick Roehrick,http://www.ufcstats.com/fighter-details/7195e2a932686f82
"5' 3""",115 lbs.,"64""",Orthodox,"May 30, 1988",Virna Jandiroba,http://www.ufcstats.com/fighter-details/7dda2cf308f24a02
"6' 1""",185 lbs.,"74""",Southpaw,"May 30, 1978",Lyoto Machida,http://www.ufcstats.com/fighter-details/f7a7f7118d4b01b6
"5' 11""",170 lbs.,"75""",Orthodox,"Jun 14, 1980",Claude Patrick,http://www.ufcstats.com/fighter-details/56116a79e4deed06
"6' 2""",205 lbs.,"75""",Southpaw,"Jul 17, 1987",Jonathan Wilson,http://www.ufcstats.com/fighter-details/cd01f0b768a32475
"6' 0""",245 lbs.,--,Orthodox,"Feb 02, 1980",Denis Stojnic,http://www.ufcstats.com/fighter-details/a421465acbe59c77
"6' 3""",185 lbs.,"75""",Orthodox,"Mar 07, 1982",Jared Hamman,http://www.ufcstats.com/fighter-details/23459ee7e373b98f
"6' 0""",155 lbs.,"71""",Orthodox,"Aug 14, 1987",Colton Smith,http://www.ufcstats.com/fighter-details/2e25c1d983c26311
"5' 10""",170 lbs.,"72""",Orthodox,"Apr 10, 1980",Joshua Burkman,http://www.ufcstats.com/fighter-details/6da99156486ed6c2
"5' 8""",145 lbs.,"71""",Southpaw,"Sep 21, 1993",Martin Bravo,http://www.ufcstats.com/fighter-details/9c44f290f5726d95
"6' 3""",185 lbs.,"74""",Orthodox,"Jan 06, 1975",Kalib Starnes,http://www.ufcstats.com/fighter-details/c8136ab8aa32c974
"5' 6""",125 lbs.,"69""",Orthodox,"Nov 08, 1989",Jordan Espinosa,http://www.ufcstats.com/fighter-details/215a70f073a7b726
"6' 5""",260 lbs.,"76""",Orthodox,"Apr 14, 1980",Anthony Hamilton,http://www.ufcstats.com/fighter-details/c727c7d31c50c4cf
"6' 0""",185 lbs.,"74""",Orthodox,"Dec 30, 1990",Darren Stewart,http://www.ufcstats.com/fighter-details/a17ad5a5048e8c3f
"5' 10""",170 lbs.,--,Orthodox,"Apr 28, 1978",Billy Miles,http://www.ufcstats.com/fighter-details/3c48019bc387b80c
"6' 4""",205 lbs.,"76""",Orthodox,"Feb 28, 1989",Vinicius Moreira,http://www.ufcstats.com/fighter-details/acb36c908d415c4a
"5' 7""",145 lbs.,--,Orthodox,"Jan 25, 1988",Dashon Johnson,http://www.ufcstats.com/fighter-details/36207c58e854cae5
"6' 3""",245 lbs.,--,Orthodox,"Jun 29, 1988",Cody East,http://www.ufcstats.com/fighter-details/5713c1d2fac539ac
"5' 5""",125 lbs.,--,Orthodox,"May 13, 1988",Josh Ferguson,http://www.ufcstats.com/fighter-details/b0f316c60f8d3b47
"6' 0""",170 lbs.,--,Southpaw,"Aug 08, 1988",Amilcar Alves,http://www.ufcstats.com/fighter-details/dc5a6b2fdb27e7dc
"5' 9""",155 lbs.,"72""",Orthodox,"Dec 02, 1975",Dennis Hallman,http://www.ufcstats.com/fighter-details/8a8a84b743ae7699
"5' 8""",155 lbs.,"71""",Orthodox,"Nov 27, 1990",Lukasz Sajewski,http://www.ufcstats.com/fighter-details/fb41432b622992a9
"6' 0""",185 lbs.,"70""",Southpaw,"Oct 31, 1977",Daniel Kelly,http://www.ufcstats.com/fighter-details/bdcbb976816fd256
"5' 5""",125 lbs.,"71""",Southpaw,"Aug 28, 1996",Carls John De Tomas,http://www.ufcstats.com/fighter-details/2a4200ead401a9ce
"5' 5""",125 lbs.,"67""",Southpaw,"Sep 13, 1992",Elias Garcia,http://www.ufcstats.com/fighter-details/ac5a7400da3a9a41
"5' 8""",145 lbs.,"70""",Southpaw,"Jan 22, 1994",Arnold Allen,http://www.ufcstats.com/fighter-details/040a74bb0a465c54
"5' 8""",170 lbs.,--,Orthodox,"Feb 18, 1980",Ross Pointon,http://www.ufcstats.com/fighter-details/7215953cd5c6254d
"5' 11""",155 lbs.,--,Orthodox,"Jul 30, 1984",Steve Lopez,http://www.ufcstats.com/fighter-details/6085ceb59087514b
"5' 8""",145 lbs.,"70""",Orthodox,"Feb 16, 1991",Mirsad Bektic,http://www.ufcstats.com/fighter-details/cbd3e590a85b18c5
"6' 2""",170 lbs.,"75""",Southpaw,"Jan 25, 1983",Ron Stallings,http://www.ufcstats.com/fighter-details/6dd758d34da8d254
"6' 0""",155 lbs.,"73""",Orthodox,"Aug 22, 1983",Justin Buchholz,http://www.ufcstats.com/fighter-details/231926533134ec1f
"6' 1""",215 lbs.,--,Southpaw,--,Jim Mullen,http://www.ufcstats.com/fighter-details/1a49e0670dfaca31
"5' 11""",155 lbs.,"70""",Southpaw,"Dec 22, 1986",Norman Parke,http://www.ufcstats.com/fighter-details/14ff46596ad80609
"5' 6""",135 lbs.,"68""",Orthodox,"Jun 20, 1977",Marion Reneau,http://www.ufcstats.com/fighter-details/c7d297714d9ab1a4
"6' 0""",155 lbs.,--,Southpaw,"Aug 09, 1979",Kyle Watson,http://www.ufcstats.com/fighter-details/d7b2c0b53883ee80
"5' 9""",145 lbs.,"70""",Orthodox,"Apr 12, 1987",Tiago dos Santos e Silva,http://www.ufcstats.com/fighter-details/8ce87f7e3a9baed2
"5' 10""",145 lbs.,"70""",Orthodox,"May 29, 1990",Steven Peterson,http://www.ufcstats.com/fighter-details/b93c06d09d1c4ac0
"5' 9""",170 lbs.,--,Orthodox,"Dec 23, 1980",Dan Barrera,http://www.ufcstats.com/fighter-details/f12f979b657ab876
"5' 6""",135 lbs.,"68""",Orthodox,"Nov 11, 1989",Yana Kunitskaya,http://www.ufcstats.com/fighter-details/3143bf892608139a
"5' 10""",185 lbs.,"73""",Orthodox,"Jan 30, 1981",Rob Kimmons,http://www.ufcstats.com/fighter-details/054defd5420a551f
"6' 0""",155 lbs.,"72""",Orthodox,"Apr 08, 1986",Danny Downes,http://www.ufcstats.com/fighter-details/a66395395b5f1394
"5' 7""",135 lbs.,"67""",Orthodox,"Sep 05, 1988",Raquel Pennington,http://www.ufcstats.com/fighter-details/fc169c387b4b465d
"6' 2""",227 lbs.,--,Southpaw,"Nov 19, 1974",Tom Murphy,http://www.ufcstats.com/fighter-details/62918a2118de08b2
"6' 0""",185 lbs.,"73""",Orthodox,"Jun 07, 1989",Michael Kuiper,http://www.ufcstats.com/fighter-details/b7f38813485745da
"6' 0""",170 lbs.,--,Orthodox,"Mar 17, 1977",Kit Cope,http://www.ufcstats.com/fighter-details/ce47f49e5c386a9c
"5' 11""",145 lbs.,"74""",Orthodox,"Jun 25, 1990",Andre Fili,http://www.ufcstats.com/fighter-details/8fd808923cffff82
"5' 11""",170 lbs.,"72""",Switch,"May 22, 1982",Galore Bofando,http://www.ufcstats.com/fighter-details/8a56ea383fd26e52
"6' 0""",170 lbs.,"75""",Orthodox,"Feb 11, 1983",Stephen Thompson,http://www.ufcstats.com/fighter-details/4a28cb716c19157a
"6' 6""",185 lbs.,"79""",Orthodox,"Nov 12, 1982",Kendall Grove,http://www.ufcstats.com/fighter-details/234f3767ff0e5701
"6' 0""",185 lbs.,"76""",Orthodox,"Jul 18, 1988",Andreas Michailidis,http://www.ufcstats.com/fighter-details/79325a3c1a5c3bf4
"6' 1""",205 lbs.,--,Orthodox,"May 19, 1968",Satoshi Honma,http://www.ufcstats.com/fighter-details/d2b1c1317a39f6c6
"5' 7""",145 lbs.,"72""",Orthodox,"Jan 03, 1987",Mike Grundy,http://www.ufcstats.com/fighter-details/56fcb2c4d99f9d1b
"6' 3""",205 lbs.,"79""",Orthodox,"May 11, 1986",Dequan Townsend,http://www.ufcstats.com/fighter-details/3f7dab21b6c971bc
"5' 10""",210 lbs.,--,Orthodox,--,Scott Morris,http://www.ufcstats.com/fighter-details/be9d259be012e8a4
"5' 5""",125 lbs.,--,Southpaw,"Sep 08, 1976",Yasuhiro Urushitani,http://www.ufcstats.com/fighter-details/c34e5849184b08c3
"5' 7""",205 lbs.,--,Orthodox,"Apr 25, 1979",Alexandre Ferreira,http://www.ufcstats.com/fighter-details/28ba5f27e473420c
"6' 0""",185 lbs.,"74""",Southpaw,"Dec 24, 1992",Darren Till,http://www.ufcstats.com/fighter-details/9ce6d5a03af801b7
"6' 3""",185 lbs.,--,Orthodox,"Nov 29, 1983",James Hammortree,http://www.ufcstats.com/fighter-details/1f77fce698e80488
"6' 0""",205 lbs.,"76""",Orthodox,"Feb 09, 1992",Darko Stosic,http://www.ufcstats.com/fighter-details/025f0b1b58fbad01
"5' 11""",170 lbs.,"75""",Orthodox,"Nov 27, 1991",Vicente Luque,http://www.ufcstats.com/fighter-details/6d4b63c767106d3a
"6' 6""",185 lbs.,"77""",Orthodox,"Apr 13, 1988",Luke Barnatt,http://www.ufcstats.com/fighter-details/172c2135e70f87b7
"5' 9""",170 lbs.,"77""",Orthodox,"Sep 04, 1992",Kevin Lee,http://www.ufcstats.com/fighter-details/ee9ebceabfd16fa7
"5' 5""",115 lbs.,--,Orthodox,"Aug 28, 1997",Chan-Mi Jeon,http://www.ufcstats.com/fighter-details/24174a3f44ce8e03
"6' 2""",253 lbs.,"74""",Switch,"Aug 05, 1982",Dmitrii Smoliakov,http://www.ufcstats.com/fighter-details/75afb06215a07341
"5' 9""",155 lbs.,"73""",Southpaw,"May 01, 1989",David Teymur,http://www.ufcstats.com/fighter-details/2747c60e42d9d75f
"5' 10""",155 lbs.,"70""",Orthodox,"Jan 26, 1983",Justin Edwards,http://www.ufcstats.com/fighter-details/e56daf7725a0b5ab
"6' 3""",205 lbs.,"78""",Orthodox,"Oct 11, 1981",Francis Carmont,http://www.ufcstats.com/fighter-details/3591d0d5d382a381
"5' 11""",170 lbs.,--,Orthodox,"Jan 15, 1986",Joao Zeferino,http://www.ufcstats.com/fighter-details/be4076c9e8d791e3
"5' 7""",145 lbs.,--,Southpaw,"Jan 01, 1976",Eiji Mitsuoka,http://www.ufcstats.com/fighter-details/2b4faacc16d66898
"6' 4""",230 lbs.,--,Orthodox,--,Carlos Barreto,http://www.ufcstats.com/fighter-details/a220be6d41d6f97d
"6' 1""",170 lbs.,"75""",Southpaw,"Dec 07, 1987",Michael Chiesa,http://www.ufcstats.com/fighter-details/c58f51dedb310998
"5' 7""",145 lbs.,--,Southpaw,"Oct 31, 1980",Waylon Lowe,http://www.ufcstats.com/fighter-details/28f62d866c59c709
"6' 6""",265 lbs.,--,Orthodox,"Aug 15, 1973",Marcus Jones,http://www.ufcstats.com/fighter-details/8fa2b06572365321
"6' 2""",200 lbs.,--,Orthodox,"Sep 22, 1973",David Dodd,http://www.ufcstats.com/fighter-details/c2a7623f398d9bd7
"6' 1""",155 lbs.,"73""",Orthodox,"Mar 29, 1983",Donald Cerrone,http://www.ufcstats.com/fighter-details/1d00756835ca67c9
